nom,prix,prix_clean,categorie_prix,adresse,ville,url_image,date_nettoyage,fichier_source
Lapin angora californien,15 000CFA,15000.0,Bas (< 50k),"Mermoz-Sacré-Cœur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1014679_uploaded_image1_1570023780.43.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Pigeon voyageur,20 000CFA,20000.0,Bas (< 50k),"Grand Yoff, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1006424_uploaded_image1_1569854764.54.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Pigeon voyageur,25 000CFA,25000.0,Bas (< 50k),"Grand Yoff, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1006413_uploaded_image1_1569854645.39.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Pigeon voyageur,20 000CFA,20000.0,Bas (< 50k),"Grand Yoff, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1006407_uploaded_image1_1569854536.38.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Bleus d'hollande,15 000CFA,15000.0,Bas (< 50k),"Hann Bel-Air, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1006380_uploaded_image1_1569854064.06.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Brahmane poules,35 000CFA,35000.0,Bas (< 50k),"Hann Bel-Air, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1006369_uploaded_image1_1569853974.38.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lapins angora californien,11 000CFA,11000.0,Bas (< 50k),"Médina, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_993655_uploaded_image1_1569535990.77.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poules,7 000CFA,7000.0,Bas (< 50k),Sénégal,Autre,https://images.coinafrique.com/thumb_977534_uploaded_image1_1569239272.43.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Paons Pigeons,30 000CFA,30000.0,Bas (< 50k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_968953_uploaded_image1_1569008082.81.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poulet - Pigeon - Lapin,Prix sur demande,,Non spécifié,Sénégal,Autre,https://images.coinafrique.com/thumb_944363_uploaded_image1_1568471599.26.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Bouldolande,7 000CFA,7000.0,Bas (< 50k),"Dieuppeul-Derklé, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_944280_uploaded_image1_1568469542.41.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poussins Bantam,8 000CFA,8000.0,Bas (< 50k),"Keur Massar, Sénégal",Autre,https://images.coinafrique.com/thumb_912493_uploaded_image1_1567685916.85.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poulet de chair,Prix sur demande,,Non spécifié,"Pikine, Sénégal",Autre,https://images.coinafrique.com/thumb_908730_uploaded_image1_1567603082.63.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Femelle Cochin bleu,30 000CFA,30000.0,Bas (< 50k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_899496_uploaded_image1_1567386467.81.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Barahmane,15 000CFA,15000.0,Bas (< 50k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_899487_uploaded_image1_1567386142.96.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poussins bantam,15 000CFA,15000.0,Bas (< 50k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_899477_uploaded_image1_1567385912.28.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Coq,30 000CFA,30000.0,Bas (< 50k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_899472_uploaded_image1_1567385639.81.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poulet de chair,2 500CFA,2500.0,Bas (< 50k),Sénégal,Autre,https://images.coinafrique.com/thumb_886584_uploaded_image1_1567011994.0.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Coqs et poussins,800CFA,800.0,Bas (< 50k),Sénégal,Autre,https://images.coinafrique.com/thumb_886578_uploaded_image1_1567011857.49.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poulet de chair,2 500CFA,2500.0,Bas (< 50k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_885789_uploaded_image1_1566997710.07.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lapin nain noir adulte,10 000CFA,10000.0,Bas (< 50k),"Médina, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_878312_uploaded_image1_1566833445.3.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Femelle GDF 4 mois,70 000CFA,70000.0,Moyen (50k-100k),"Médina, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_862099_uploaded_image1_1566396428.28.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Race bleu d' hollande,800CFA,800.0,Bas (< 50k),Sénégal,Autre,https://images.coinafrique.com/thumb_858710_uploaded_image1_1566319546.08.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Coq et poussins bleus,15 000CFA,15000.0,Bas (< 50k),Sénégal,Autre,https://images.coinafrique.com/thumb_855420_uploaded_image1_1566249496.28.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lapin Buchka,7 000CFA,7000.0,Bas (< 50k),"Yoff, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_848961_uploaded_image1_1566052780.75.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Coqs Brahmane,5 000CFA,5000.0,Bas (< 50k),"Thies Ouest, Thiès, Sénégal",Thiès,https://images.coinafrique.com/thumb_841858_uploaded_image1_1565838064.66.png,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
