nom,prix,prix_clean,categorie_prix,adresse,ville,url_image,date_nettoyage,fichier_source
Cheval,400 000CFA,400000.0,Très élevé (> 200k),"Fatick, Sénégal",Fatick,https://images.coinafrique.com/thumb_1421196_uploaded_image1_1578050637.48.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Oies de guinée,Prix sur demande,,Non spécifié,"Thies, Sénégal",Autre,https://images.coinafrique.com/thumb_1417652_uploaded_image1_1577968881.34.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Perruches,Prix sur demande,,Non spécifié,"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1395711_uploaded_image1_1577438640.7.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Perruches,Prix sur demande,,Non spécifié,"Mermoz-Sacré-Cœur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1395598_uploaded_image1_1577437294.33.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Oiseaux exotiques,20 000CFA,20000.0,Bas (< 50k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1393968_uploaded_image1_1577393598.45.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Perruches,Prix sur demande,,Non spécifié,"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1389654_uploaded_image1_1577304861.89.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Cailles,12 000CFA,12000.0,Bas (< 50k),"Mermoz-Sacré-Cœur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1376905_uploaded_image1_1577034747.91.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Oies,Prix sur demande,,Non spécifié,"Fass, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1322739_uploaded_image1_1576006817.07.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Oies,60 000CFA,60000.0,Moyen (50k-100k),"Fass, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1311792_uploaded_image1_1575817543.97.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Paon bleu,Prix sur demande,,Non spécifié,"Parcelle Assainies, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1310387_uploaded_image1_1575790267.47.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Bœufs,350 000CFA,350000.0,Très élevé (> 200k),Sénégal,Autre,https://images.coinafrique.com/thumb_1198114_uploaded_image1_1573729988.56.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Boeuf,Prix sur demande,,Non spécifié,"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Mouton ladoum pure sang,Prix sur demande,,Non spécifié,Sénégal,Autre,https://images.coinafrique.com/thumb_1011139_uploaded_image1_1569950027.26.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Oies bourbonaises,50 000CFA,50000.0,Moyen (50k-100k),"Thies, Sénégal",Autre,https://images.coinafrique.com/thumb_990474_uploaded_image1_1569491306.15.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Caille,1 000CFA,1000.0,Bas (< 50k),"Grand Yoff, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_931708_uploaded_image1_1568194736.45.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Verrat de race Large white,200 000CFA,200000.0,Très élevé (> 200k),Sénégal,Autre,https://images.coinafrique.com/thumb_929881_uploaded_image1_1568141260.81.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Chèvre Balami,200 000CFA,200000.0,Très élevé (> 200k),"Saint Louis, Sénégal",Autre,https://images.coinafrique.com/thumb_917895_uploaded_image1_1567801722.96.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Bœuf,400 000CFA,400000.0,Très élevé (> 200k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_885779_uploaded_image2_1566997623.56.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Poisson d'aquarium,35 000CFA,35000.0,Bas (< 50k),Sénégal,Autre,https://images.coinafrique.com/thumb_863425_uploaded_image1_1566425287.55.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Perruches,Prix sur demande,,Non spécifié,Sénégal,Autre,https://images.coinafrique.com/thumb_845280_uploaded_image1_1565952077.54.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Carpe Koï Japonaise ( Aquarium),50 000CFA,50000.0,Moyen (50k-100k),"Dakar-Plateau, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_827220_uploaded_image1_1565349629.12.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Perruches,Prix sur demande,,Non spécifié,"Point E, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_751123_uploaded_image1_1563297186.25.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Cailles,2 000CFA,2000.0,Bas (< 50k),"Mermoz-Sacré Coeur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3405018_uploaded_image1_1635264107.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Perruches,Prix sur demande,,Non spécifié,"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3395087_uploaded_image3_1634734337.jpeg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Trio de paon bleu,450 000CFA,450000.0,Très élevé (> 200k),"Mbao, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3389732_uploaded_image1_1634436997.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Paon bleu adulte,300 000CFA,300000.0,Très élevé (> 200k),"Keur Massar, Sénégal",Autre,https://images.coinafrique.com/thumb_3372722_uploaded_image1_1633568000.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Cailles,1 500CFA,1500.0,Bas (< 50k),"Mermoz-Sacré Coeur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3371486_uploaded_image1_1633522085.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Bœuf,500 000CFA,500000.0,Très élevé (> 200k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3369906_uploaded_image1_1633454163.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Couple hermine,20 000CFA,20000.0,Bas (< 50k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3369362_uploaded_image1_1633438173.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Caille,2 000CFA,2000.0,Bas (< 50k),"Mermoz-Sacré Coeur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3360468_uploaded_image1_1633037043.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Autruchon,300 000CFA,300000.0,Très élevé (> 200k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3357168_uploaded_image1_1632871377.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Veaux,250 000CFA,250000.0,Très élevé (> 200k),"Dieuppeul-Derklé, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3350491_uploaded_image1_1632436028.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Taureaux Holstein,2 500 000CFA,2500000.0,Très élevé (> 200k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3348822_uploaded_image1_1632352988.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Géniteur Holstein,2 200 000CFA,2200000.0,Très élevé (> 200k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3348819_uploaded_image1_1632352628.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Carpe Koï,100 000CFA,100000.0,Élevé (100k-200k),"Dakar Plateau, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3345713_uploaded_image1_1632222841.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Chaton,40 000CFA,40000.0,Bas (< 50k),"Almadies, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3341213_uploaded_image1_1631968364.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Perruches,Prix sur demande,,Non spécifié,"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_3336754_uploaded_image1_1631736919.jpg,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
