web_scraper_order,web_scraper_start_url,prix,nom,adresse,url_image
"1772096760-378","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2427314_uploaded_image1_1594477386.jpg"
"1772096760-379","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2427030_uploaded_image1_1594472380.jpg"
"1772096760-380","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2426804_uploaded_image1_1594469137.jpg"
"1772096760-381","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2426800_uploaded_image1_1594469089.jpg"
"1772096760-382","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2426796_uploaded_image1_1594469043.jpg"
"1772096760-383","https://sn.coinafrique.com/categorie/moutons?page=12","285 000CFA","Moutons","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2426276_uploaded_image1_1594462129.jpg"
"1772096760-384","https://sn.coinafrique.com/categorie/moutons?page=12","170 000CFA","Moutons","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2426238_uploaded_image1_1594461731.jpg"
"1772096760-385","https://sn.coinafrique.com/categorie/moutons?page=12","350 000CFA","Mouton","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2425621_uploaded_image1_1594451298.jpg"
"1772096760-386","https://sn.coinafrique.com/categorie/moutons?page=12","500 000CFA","Béliers","Bambey, Sénégal","https://images.coinafrique.com/thumb_2425600_uploaded_image1_1594451033.jpg"
"1772096760-387","https://sn.coinafrique.com/categorie/moutons?page=12","700 000CFA","Mouton","Dakar, Sénégal","https://images.coinafrique.com/thumb_2425102_uploaded_image1_1594426607.jpg"
